Plts,StartNr,Naam,Vereniging/Woonplaats,Cat,PltsCat,NettoTijd,Na1800m,race,date
1,1091,Thomas Lewis,Phanos,Man,1,00:10:53,00:05:11,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
2,1495,Daniël de Looze,Phanos,Man,2,00:11:16,00:05:16,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
3,1496,Fabian Pusceddu,Lycurgus,Man,3,00:11:50,00:05:51,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
4,1324,Edward Monrad,Phanos,Man,4,00:12:01,00:05:53,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
5,2096,Marijn Boomars,Barleaus,Vrouw,1,00:12:20,00:05:51,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
6,1374,Christopher van Altena,Phanos,Man,5,00:12:53,00:06:19,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
7,1448,Fedor Musil,Phanos,Man,6,00:13:57,00:06:53,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
8,1489,Kaya Gezgin,Amsterdam,Man,7,00:14:04,00:06:49,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
9,1300,Jelle Miedema,Phanos,Man,8,00:14:06,00:06:53,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
10,2078,Amina Schellekens,Barleaus,Vrouw,2,00:14:13,00:06:46,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
11,1288,Kurt Pichler,Amsterdam,Man,9,00:14:26,00:06:55,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
12,1498,Francien de Leeuw,Phanos,Vrouw,3,00:14:26,00:06:56,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
13,1022,Monne Sutorius,AV '23,Man,10,00:14:29,00:07:02,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
14,433,Ben Sharon,Amstelveen,Man,11,00:14:39,00:07:12,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
15,1372,Arjen Post,Amsterdam,Man,12,00:14:42,00:07:03,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
16,1338,Faye Traube,AAC,Vrouw,4,00:16:04,00:08:01,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
17,2088,Bella Arlman,Barleaus,Vrouw,5,00:16:16,00:07:59,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
18,2119,Rutger Schim van der Loef,Barleaus,Man,13,00:16:16,00:07:56,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
19,828,Noëly Baan,Phanos,Vrouw,6,00:16:17,00:08:03,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
20,841,Rosa Westra,AAC,Vrouw,7,00:16:27,00:08:01,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
21,969,Toon Hooijmaijers,Amsterdam,Man,14,00:16:45,00:08:20,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
